team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
Northern Colorado,9,170.57664949992534,100.00000000000001,-0.995907387154569,4.159862997047351,5.15577038420192
Lipscomb,9,184.89430592396107,100.00000000000001,-4.940416320625945,0.5871988211078316,5.527615141733777
Milwaukee,11,208.87102490096208,100.0,-8.865857604749637,-0.903082715784033,7.962774888965604
Youngstown St.,11,201.9657589087662,100.00000000000003,-4.929326344840726,0.9750163199759275,5.904342664816654
Belmont,13,236.24721848044433,99.99999999999999,-0.25784418025860645,2.399101888624307,2.656946068882913
Seattle,10,183.76182029177718,99.99999999999999,-0.88939878373354,3.4706281932306986,4.360026976964239
UAB,10,187.9278154010946,100.0,-1.4431855741852888,3.4088799399540384,4.852065514139327
Grand Canyon,10,183.39779543588597,100.0,2.561158648420958,4.329652626445506,1.7684939780245483
Yale,9,167.93135208711436,100.00000000000001,3.2421759232798903,4.189444055814105,0.9472681325342149
Towson,10,179.87854655425218,99.99999999999997,-2.6724341109069023,2.843142335573489,5.515576446480392
Old Dominion,10,184.06836265824458,99.99999999999997,-5.804724019583735,0.7606457103123341,6.565369729896069
Northern Illinois,12,227.84935693935694,99.99999999999997,-15.693013887792647,-3.617652060780467,12.07536182701218
Longwood,9,171.43262422634837,100.00000000000001,-4.059762486611351,0.12728845348087026,4.187050940092222
Elon,11,205.35538720538722,100.0,-8.028736525567993,-1.929464704234266,6.099271821333727
Florida St.,11,202.47118231768232,100.00000000000001,5.021309771793952,7.535435292875723,2.5141255210817715
Syracuse,10,181.89049660509608,99.99999999999997,0.23858123394269778,4.334951047306391,4.096369813363693
Cleveland St.,14,252.04797781891895,100.00000000000003,-15.110369136811151,-2.345351068060864,12.765018068750287
Western Carolina,9,177.9652880861157,99.99999999999999,-3.957491076074025,1.3051947837850961,5.262685859859121
North Florida,9,173.1284226579521,99.99999999999999,-9.94063704322291,0.3065258409846138,10.247162884207524
Ohio,10,184.39976529217907,100.0,-5.1037440260771465,-0.5396725861315237,4.564071439945623
Denver,8,153.52317095420545,100.0,-4.417643752211819,-1.061482073247347,3.3561616789644724
Queens,10,190.24611517893874,100.0,-2.7585706449199776,6.347169792572701,9.105740437492678
Merrimack,10,189.4644316467846,100.0,-11.245303003713744,-0.06361414003925264,11.181688863674491
William & Mary,11,207.87526533811015,99.99999999999997,-2.296625910589295,2.745198410522991,5.041824321112286
Alcorn St.,10,190.26375657944206,100.0,-11.689414740473415,-2.110962014974498,9.578452725498916
Pacific,9,177.1186863020103,100.0,-1.926771461874055,6.114427129845703,8.041198591719759
Houston Christian,9,167.55157607173834,99.99999999999997,-7.216276768689471,0.48223677101475604,7.698513539704227
North Carolina A&T,9,175.55663094223198,100.0,-7.96628317315693,-0.4673780826465294,7.498905090510401
Manhattan,8,147.3907764182425,100.0,-5.676036695224789,-1.0737531215871337,4.602283573637655
Western Michigan,12,222.93477486381684,100.0,-7.343612615954588,-0.6993318783745439,6.644280737580044
Santa Clara,9,173.16545249698123,100.0,6.332241024083746,7.751365885398136,1.4191248613143896
Eastern Washington,11,194.4811863711002,100.00000000000003,-5.283175839432692,0.8001706992391847,6.083346538671877
Eastern Illinois,10,188.6381216931217,99.99999999999999,-10.904717823618105,-1.4211864347615013,9.483531388856603
Alabama St.,11,202.027636542072,100.0,-8.20951919772289,-0.1500536853567142,8.059465512366177
Green Bay,12,227.1036139494251,100.00000000000001,-8.839129695025173,0.21300990545746973,9.052139600482644
UNC Greensboro,12,219.13619927563474,100.0,-11.873912210922262,-5.156774430076954,6.717137780845308
Central Arkansas,10,183.09755600358423,100.0,-1.5617765433168225,3.585056707039141,5.1468332503559635
Campbell,8,153.73007204433497,99.99999999999999,-2.768325396867205,-0.0031368509682434265,2.7651885458989613
Marist,12,229.00532772899268,100.0,-7.042424541188386,1.2892506897593021,8.331675230947688
Oregon,13,235.89120827891688,100.00000000000003,-2.6828213504463365,2.022071061422188,4.704892411868524
Clemson,11,214.30179383116885,99.99999999999999,5.984849274461377,5.893271706710445,-0.09157756775093162
St. Thomas,11,197.91355809688213,100.0,-3.618974155418693,2.292577602388133,5.911551757806826
Loyola Marymount,9,172.69037365263173,100.0,-3.2718949181604087,2.478201343688834,5.750096261849243
Northwestern St.,12,223.05652990234208,100.0,-9.696048883774587,-0.9174298450616005,8.778619038712986
Missouri St.,9,170.0578118683806,100.0,-2.987971700566915,1.3418332292079473,4.329804929774863
Sacramento St.,10,178.3696682946683,100.0,-6.524280446666219,0.5440767015569533,7.068357148223172
Central Michigan,10,179.9797476449745,100.0,-5.120097186339246,2.2684620114161946,7.38855919775544
Bethune Cookman,9,163.24469104866213,100.00000000000001,-3.7505856043457317,2.1236009688289412,5.874186573174673
Howard,11,219.56124752140062,99.99999999999999,-8.790376469784702,0.017630222657426052,8.808006692442127
Delaware,6,121.06837267080743,100.0,-3.0200781710628695,-0.29771957705190183,2.722358594010968
Southern,12,216.14716657606198,100.0,-7.083318430888258,0.7182997115508749,7.801618142439133
Utah St.,12,221.9152982556659,99.99999999999997,6.3266433428944024,13.082355989501368,6.755712646606965
Rutgers,10,201.73337067428855,99.99999999999997,-3.4281458979504857,1.7660495327355306,5.194195430686016
UNC Wilmington,9,171.69384101149276,100.0,-0.18707946462113068,2.565033868284387,2.752113332905518
Kansas,12,204.0038139911137,99.99999999999999,7.3389433777763315,10.434067902120805,3.095124524344474
Loyola Chicago,12,218.08414654915563,100.00000000000001,-6.674056861939814,-1.730417725811003,4.943639136128811
Drake,10,188.47084543010752,100.0,-4.967717022410919,1.8877808063273311,6.85549782873825
Norfolk St.,11,195.72958994708995,100.0,-9.827229110251515,-1.8334923756782793,7.993736734573236
Temple,10,172.96904138501466,99.99999999999997,-4.476124543121834,1.167704057075335,5.643828600197169
Miami OH,11,202.603500935784,100.0,1.5364757791216663,4.349688141682748,2.8132123625610816
Kentucky,10,184.44924251152074,99.99999999999999,5.206960374580109,5.663487461514251,0.456527086934142
UMass Lowell,10,186.86196192696195,99.99999999999997,-8.667110604757038,-2.103029824340097,6.564080780416941
Hofstra,9,169.89759512132287,100.00000000000001,0.42790936069624935,2.792528637698308,2.3646192770020584
TCU,9,179.40773731714907,100.0,3.668702769036789,7.416549254003423,3.7478464849666335
Gardner Webb,11,202.42942808266196,100.0,-13.986079083266333,-4.099197485247105,9.886881598019228
